smiles,docking_score,reference_id
CC(C)(O)CN1CCN(CC1)C(=O)CCn(c(=O)o2)c(c23)cccc3,-5.627,TRAIN_0162
Fc1ccc(cc1C)C(=O)Nc2cccnc2-c3cnn(C)c3,-5.627,TRAIN_0163
CN1CCN(C1=O)C2CCN(CC2)Cc3ccccc3C#N,-5.626,TRAIN_0164
Fc(c1)c(F)ccc1NC(=O)CNc2ccccc2,-5.622,TRAIN_0165
Cc1cccc(c1)CNC(=O)c2cccc(c2)NS(=O)(=O)C,-5.597,TRAIN_0166
NC(=O)COc1ccc(cc1)CNCc2ccc(cc2)-c3ccccc3,-5.596,TRAIN_0167
Clc1ccc(cc1)-c2cnc(o2)CN3CCC(CC3)c4cc[nH]n4,-5.586,TRAIN_0168
o1cccc1CNC(=O)COc(ncn2)c(c23)c(cs3)-c4ccc(Cl)cc4,-5.586,TRAIN_0169
CNC[C@@H]1C[C@H](F)CN1C(=O)c(cn2)c(=O)n(c23)cc(C)cc3,-5.584,TRAIN_0170
COc1ccc(cc1)[C@@H](CC(=O)O)NC(=O)c2cccc(F)c2F,-5.579,TRAIN_0171
c1cc(Cl)ccc1[C@@H](NC(=O)N2)C(=C2C)C(=O)Nc3ccccc3,-5.579,TRAIN_0172
COc1ccc(cc1OC)CC(=O)N2CCCC[C@@H]2c3nc[nH]n3,-5.575,TRAIN_0173
Cc1ccc(cc1F)C(=O)NCc2ccc(cc2)OCc3cnccc3,-5.573,TRAIN_0174
C1CCc(c12)cc(cc2)NC(=O)c3ccc(cc3)-n4cncn4,-5.57,TRAIN_0175
C1CCCCC1(C(=O)N)NC(=O)CN2CCCC2=O,-5.56,TRAIN_0176
Nc1ncnc(c1Cl)NCc2ccnc(c2)OC3CCOCC3,-5.558,TRAIN_0177
c1ccccc1NC(=O)CCN(CC2)Cc(c23)c(C(F)(F)F)n[nH]3,-5.557,TRAIN_0178
c1cccc(c12)[C@H](CO2)C(=O)Nc3ccn(n3)[C@@H]4CCNC4,-5.555,TRAIN_0179
c1c[nH]c(c12)ncnc2N3CC[C@H](C3)Oc4ccccn4,-5.541,TRAIN_0180
n1ccn(c12)C[C@@H](CC2)NC(=O)[C@@H]3CC(=O)N(C3)CC4CC4,-5.54,TRAIN_0181
CCC(=O)Nc1ccc(C)c(c1)NC(=O)c2cnn(c2C)-c3ccc(=O)[nH]n3,-5.532,TRAIN_0182
CC(C)(C)n1cc(cn1)CNc2nncn2-c3ccccc3,-5.53,TRAIN_0183
Cc1ccc(cc1)-n2ncc(c2C(F)(F)F)C(=O)Nc(cc3)cc(c34)nn[nH]4,-5.52,TRAIN_0184
C1CCCCC1NC(=O)CNC(=O)NCCNC(=O)C2CC2,-5.512,TRAIN_0185
n1[nH]ncc1[C@@H]2CN(C[C@H]2OC)Cc3c[nH]nc3-c4cccc(C)c4,-5.51,TRAIN_0186
O=C(O)c(c1)c(O)ccc1NC(=O)C2(C)CCN(CC2)Cc3ccccc3,-5.508,TRAIN_0187
CNC(=O)c1ccc(cc1)CN2CCOC[C@H]2c3ccccc3,-5.505,TRAIN_0188
c1cc(C)cc(c12)c(ccn2)N3CCC[C@H](C3)c4cc(n[nH]4)C(=O)N,-5.49,TRAIN_0189
Cc1c(Cl)cccc1NC(=O)CSc2[nH]ncn2,-5.489,TRAIN_0190
CC(C)Cc1noc(n1)CNc2ccc(cc2)-c3nnnn3C4CC4,-5.487,TRAIN_0191
Fc1cc(C#N)cc(F)c1S(=O)(=O)N(C)Cc(c2)nc(n23)CCCC3,-5.484,TRAIN_0192
Fc1ccc(cc1)[C@@H]2CC[C@H]2c3nc(no3)Cn(cn4)c(c45)cccc5,-5.483,TRAIN_0193
c1cccc(c12)[C@H](CN(C)C2)NC(=O)c3cccc(c3)CO,-5.482,TRAIN_0194
CCc1cccnc1C(=O)N(C2)C[C@@H]([C@@H]23)CN(C3)C(=O)COC4COC4,-5.48,TRAIN_0195
